name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Mamotte! Lollipop,Studio Comet,Shoujo,"Adventure, Comedy, Romance",Manga,6.61,2006,Shoujo,Finished,13.0,25.0,24000
Daa! Daa! Daa!,J.C.Staff,Childcare,"Comedy, Sci-Fi",Manga,7.65,2000,Shoujo,Finished,78.0,25.0,24000
Dokidoki! Precure,Toei Animation,Mahou Shoujo,"Action, Fantasy",Original,6.63,2013,Shoujo,Finished,49.0,24.0,23000
Harukanaru Toki no Naka de: Hachiyou Shou,Yumeta Company,"Historical, Isekai, Mythology, Reverse Harem, Time Travel","Fantasy, Supernatural",Visual novel,7.01,2004,Shoujo,Finished,26.0,24.0,23000
Gokinjo Monogatari,Toei Animation,Visual Arts,"Comedy, Drama, Romance, Slice, of, Life",Manga,7.59,1995,Shoujo,Finished,50.0,25.0,21000
Ai Tenshi Densetsu Wedding Peach,OLM,Shoujo,"Adventure, Comedy, Romance",Manga,6.72,1995,Shoujo,Finished,51.0,24.0,21000
Akachan to Boku,Pierrot,Childcare,"Comedy, Drama",Manga,7.82,1996,Shoujo,Finished,35.0,25.0,21000
Maria-sama ga Miteru 4th,Studio Deen,School,"Girls, Love, Slice, of, Life",Light novel,7.76,2009,Shoujo,Finished,13.0,25.0,21000
Pretty Rhythm: Aurora Dream,Tatsunoko Production,"Idols (Female), Music","Slice, of, Life, Sports",Game,7.39,2011,Shoujo,Finished,51.0,23.0,20000
PriPara,Dongwoo A&E,"Idols (Female), Music, School","Slice, of, Life",Game,7.48,2014,Shoujo,Finished,140.0,23.0,20000
Ozmafia!!,Creators in Pack,"Historical, Reverse Harem","Fantasy, Romance",Visual novel,5.47,2016,Shoujo,Finished,12.0,5.0,20000
Super GALS! Kotobuki Ran,Pierrot,Shoujo,"Comedy, Slice, of, Life",Manga,7.39,2001,Shoujo,Finished,52.0,24.0,20000
Neo Angelique Abyss: Second Age,Yumeta Company,Reverse Harem,"Adventure, Fantasy",Visual novel,7.0,2008,Shoujo,Finished,13.0,25.0,19000
Ojamajo Doremi Sharp,Toei Animation,Childcare,Comedy,Original,7.4,2000,Shoujo,Finished,49.0,24.0,19000
Motto! Ojamajo Doremi,Toei Animation,Shoujo,"Comedy, Fantasy",Original,7.4,2001,Shoujo,Finished,50.0,24.0,19000
Miracle☆Train: Oedo-sen e Youkoso,Yumeta Company,Shoujo,Fantasy,Original,6.47,2009,Shoujo,Finished,13.0,23.0,19000
Shoukoujo Sara,Nippon Animation,Historical,"Drama, Slice, of, Life",Novel,7.68,1985,Shoujo,Finished,46.0,25.0,19000
Kaitou Saint Tail,TMS Entertainment,Shoujo,"Adventure, Romance",Manga,7.55,1995,Shoujo,Finished,43.0,22.0,19000
Top Secret: The Revelation,Madhouse,"Detective, Psychological","Mystery, Sci-Fi",Manga,7.31,2008,Shoujo,Finished,26.0,22.0,18000
